RUN	perf.TestSimulation	testsimulation	1707067935604	 	3.0.3
GROUP	13	ticketattributes	1707068103588	1707068105021	433	OK
REQUEST	13	Itinerary	/cgi-bin/welcome.pl	1707068105022	1707068105159	OK	 
REQUEST	13	Itinerary	/cgi-bin/nav.pl	1707068105160	1707068105356	OK	 
USER	mainScenario	14	START	1707068108268	1707068108268
REQUEST	14	open	/webtours/	1707068108270	1707068108421	OK	 
REQUEST	14	open	/cgi-bin/welcome.pl	1707068108423	1707068108493	OK	 
REQUEST	14	open	/cgi-bin/nav.pll	1707068108495	1707068108639	OK	 
GROUP	14	open	1707068108269	1707068109658	365	OK
REQUEST	14	login	/cgi-bin/login.pl	1707068109659	1707068109878	OK	 
REQUEST	14	login	/cgi-bin/login.pl	1707068109880	1707068110374	OK	 
REQUEST	14	login	/cgi-bin/nav.pll	1707068110375	1707068110679	OK	 
GROUP	14	login	1707068109658	1707068111686	1017	OK
REQUEST	14	openflights	/cgi-bin/welcome.pl	1707068111687	1707068111824	OK	 
REQUEST	14	openflights	/cgi-bin/reservations.pl	1707068111825	1707068112047	OK	 
REQUEST	14	openflights	/cgi-bin/nav.pl	1707068112049	1707068112327	OK	 
GROUP	14	openflights	1707068111687	1707068113318	637	OK
REQUEST	14	ticketattributes	/cgi-bin/reservations.pl	1707068113319	1707068113403	OK	 
REQUEST	14	ticketattributes	/cgi-bin/reservations.pl	1707068113405	1707068113546	OK	 
REQUEST	14	ticketattributes	/cgi-bin/reservations.pl	1707068113548	1707068113862	OK	 
GROUP	14	ticketattributes	1707068113318	1707068114863	539	OK
REQUEST	14	Itinerary	/cgi-bin/welcome.pl	1707068114864	1707068114958	OK	 
REQUEST	14	Itinerary	/cgi-bin/nav.pl	1707068114959	1707068115119	OK	 
REQUEST	14	Itinerary	/cgi-bin/itinerary.pl	1707068115121	1707068115424	OK	 
GROUP	14	Itinerary	1707068114863	1707068116404	557	OK
REQUEST	14	signoff	/cgi-bin/welcome.pl	1707068116405	1707068116732	OK	 
REQUEST	14	signoff	/cgi-bin/nav.pl	1707068116734	1707068116879	OK	 
USER	mainScenario	15	START	1707068117294	1707068117294
REQUEST	15	open	/webtours/	1707068117296	1707068117539	OK	 
REQUEST	15	open	/cgi-bin/welcome.pl	1707068117540	1707068117645	OK	 
REQUEST	15	open	/cgi-bin/nav.pll	1707068117647	1707068117786	OK	 
GROUP	14	signoff	1707068116404	1707068117878	472	OK
USER	mainScenario	14	END	1707068108268	1707068117878
GROUP	15	open	1707068117295	1707068118798	487	OK
REQUEST	15	login	/cgi-bin/login.pl	1707068118799	1707068119409	OK	 
REQUEST	15	login	/cgi-bin/login.pl	1707068119410	1707068119588	OK	 
REQUEST	15	login	/cgi-bin/nav.pll	1707068119590	1707068119792	OK	 
GROUP	15	login	1707068118798	1707068120801	990	OK
REQUEST	15	openflights	/cgi-bin/welcome.pl	1707068120801	1707068120882	OK	 
REQUEST	15	openflights	/cgi-bin/reservations.pl	1707068120884	1707068121023	OK	 
REQUEST	15	openflights	/cgi-bin/nav.pl	1707068121025	1707068121127	OK	 
GROUP	15	openflights	1707068120801	1707068122119	322	OK
REQUEST	15	ticketattributes	/cgi-bin/reservations.pl	1707068122120	1707068122369	OK	 
REQUEST	15	ticketattributes	/cgi-bin/reservations.pl	1707068122371	1707068122674	OK	 
